model,time,delta_time,encoding,num_slices,num_dimensions,accuracy
Wisard,2025-01-22 23:28:37,0.0090,Scatter Code,10,80,95.33
Wisard,2025-01-22 23:28:39,0.0023,Distributive,,,96.67
Wisard,2025-01-22 23:28:39,0.0023,Gaussian,,,98.67
Wisard,2025-01-22 23:28:39,0.0022,Linear,,,97.33
Wisard,2025-01-22 23:28:39,0.0083,Scatter Code,10,100,94.67
Wisard,2025-01-22 23:28:40,0.0192,Distributive,,,97.33
Wisard,2025-01-22 23:28:40,0.0048,Gaussian,,,98.0
Wisard,2025-01-22 23:28:40,0.0045,Linear,,,98.0
Wisard,2025-01-22 23:28:40,0.0195,Scatter Code,10,120,94.67
Wisard,2025-01-22 23:28:41,0.0026,Distributive,,,96.0
Wisard,2025-01-22 23:28:41,0.0018,Gaussian,,,97.33
Wisard,2025-01-22 23:28:41,0.0022,Linear,,,97.33
Wisard,2025-01-22 23:28:41,0.0097,Scatter Code,10,140,95.33
Wisard,2025-01-22 23:28:42,0.0029,Distributive,,,97.33
Wisard,2025-01-22 23:28:42,0.0016,Gaussian,,,98.67
Wisard,2025-01-22 23:28:43,0.0015,Linear,,,98.0
Wisard,2025-01-22 23:28:43,0.0117,Scatter Code,10,160,94.67
Wisard,2025-01-22 23:28:44,0.0037,Distributive,,,96.67
Wisard,2025-01-22 23:28:44,0.0027,Gaussian,,,97.33
Wisard,2025-01-22 23:28:44,0.0047,Linear,,,97.33
Wisard,2025-01-22 23:28:44,0.0170,Scatter Code,10,180,94.67
Wisard,2025-01-22 23:28:45,0.0029,Distributive,,,97.33
Wisard,2025-01-22 23:28:45,0.0036,Gaussian,,,97.33
Wisard,2025-01-22 23:28:45,0.0044,Linear,,,94.67
Wisard,2025-01-22 23:28:45,0.0155,Scatter Code,10,200,94.67
Wisard,2025-01-22 23:28:46,0.0030,Distributive,,,97.33
Wisard,2025-01-22 23:28:46,0.0017,Gaussian,,,96.67
Wisard,2025-01-22 23:28:46,0.0017,Linear,,,98.0
Wisard,2025-01-22 23:28:46,0.0026,Scatter Code,20,20,93.33
Wisard,2025-01-22 23:28:48,0.0042,Distributive,,,97.33
Wisard,2025-01-22 23:28:48,0.0036,Gaussian,,,96.0
Wisard,2025-01-22 23:28:48,0.0034,Linear,,,98.67
