model,time,delta_time,dataset,encoding,num_slices,num_dimensions,accuracy
DWN,2025-01-27 22:10:12,0.0789,Iris,Distributive,,,0.8198
DWN,2025-01-27 22:10:12,0.0471,Iris,Gaussian,,,0.98
DWN,2025-01-27 22:10:12,0.0348,Iris,Gaussian,,,0.96
DWN,2025-01-27 22:10:12,0.0646,Iris,Gaussian,,,0.8378
DWN,2025-01-27 22:10:12,0.0551,Iris,Gaussian,,,0.7658
DWN,2025-01-27 22:10:12,0.0453,Iris,Gaussian,,,0.98
DWN,2025-01-27 22:10:12,0.0382,Iris,Linear,,,0.96
DWN,2025-01-27 22:10:12,0.0701,Iris,Gaussian,,,0.7928
DWN,2025-01-27 22:10:12,0.0348,Iris,Linear,,,0.98
DWN,2025-01-27 22:10:12,0.0538,Iris,Gaussian,,,0.94
DWN,2025-01-27 22:10:12,0.0714,Iris,Gaussian,,,0.7748
DWN,2025-01-27 22:10:12,0.0388,Iris,Linear,,,0.96
DWN,2025-01-27 22:10:12,0.0688,Iris,Gaussian,,,0.8378
DWN,2025-01-27 22:10:12,0.0505,Iris,Gaussian,,,0.96
DWN,2025-01-27 22:10:12,0.0374,Iris,Linear,,,0.96
DWN,2025-01-27 22:10:12,0.0747,Iris,Gaussian,,,0.8378
DWN,2025-01-27 22:10:12,0.0486,Iris,Gaussian,,,0.92
DWN,2025-01-27 22:10:12,0.0609,Iris,Gaussian,,,0.8378
DWN,2025-01-27 22:10:12,0.0352,Iris,Linear,,,0.98
DWN,2025-01-27 22:10:12,0.0321,Iris,Linear,,,0.94
DWN,2025-01-27 22:10:12,0.0709,Iris,Gaussian,,,0.8018
DWN,2025-01-27 22:10:12,0.0516,Iris,Gaussian,,,0.96
DWN,2025-01-27 22:10:12,0.0703,Iris,Gaussian,,,0.8198
DWN,2025-01-27 22:10:12,0.0342,Iris,Linear,,,0.98
DWN,2025-01-27 22:10:12,0.0329,Iris,Linear,,,0.94
DWN,2025-01-27 22:10:12,0.0597,Iris,Gaussian,,,0.8108
DWN,2025-01-27 22:10:12,0.0358,Iris,Linear,,,0.98
DWN,2025-01-27 22:10:12,0.0423,Iris,Linear,,,0.86
DWN,2025-01-27 22:10:12,0.0761,Iris,Gaussian,,,0.8198
DWN,2025-01-27 22:10:12,0.0369,Iris,Linear,,,0.98
DWN,2025-01-27 22:10:12,0.0782,Iris,Gaussian,,,0.8739
DWN,2025-01-27 22:10:12,0.0421,Iris,Linear,,,0.98
DWN,2025-01-27 22:10:12,0.0389,Iris,Linear,,,0.98
DWN,2025-01-27 22:10:12,0.0701,Iris,Gaussian,,,0.7928
DWN,2025-01-27 22:10:12,0.0393,Iris,Linear,,,0.94
DWN,2025-01-27 22:10:12,0.0655,Iris,Gaussian,,,0.8378
DWN,2025-01-27 22:10:12,0.0408,Iris,Scatter Code,10.0,50.0,0.88
DWN,2025-01-27 22:10:12,0.0466,Iris,Linear,,,0.96
DWN,2025-01-27 22:10:13,0.0807,Iris,Gaussian,,,0.8018
DWN,2025-01-27 22:10:13,0.039,Iris,Scatter Code,10.0,50.0,1.0
DWN,2025-01-27 22:10:13,0.0728,Iris,Gaussian,,,0.8468
DWN,2025-01-27 22:10:13,0.0503,Iris,Linear,,,0.96
DWN,2025-01-27 22:10:13,0.0374,Iris,Scatter Code,10.0,50.0,0.92
DWN,2025-01-27 22:10:13,0.0723,Iris,Gaussian,,,0.8288
DWN,2025-01-27 22:10:13,0.0555,Iris,Linear,,,0.96
DWN,2025-01-27 22:10:13,0.0386,Iris,Scatter Code,10.0,50.0,0.88
DWN,2025-01-27 22:10:13,0.0734,Iris,Gaussian,,,0.8559
DWN,2025-01-27 22:10:13,0.0403,Iris,Linear,,,0.98
DWN,2025-01-27 22:10:13,0.0407,Iris,Scatter Code,10.0,50.0,0.94
DWN,2025-01-27 22:10:13,0.0657,Iris,Linear,,,0.8018
DWN,2025-01-27 22:10:13,0.0782,Iris,Gaussian,,,0.8559
DWN,2025-01-27 22:10:13,0.0443,Iris,Scatter Code,10.0,50.0,0.84
DWN,2025-01-27 22:10:13,0.06,Iris,Linear,,,0.98
DWN,2025-01-27 22:10:13,0.0407,Iris,Scatter Code,10.0,50.0,0.94
DWN,2025-01-27 22:10:13,0.071,Iris,Linear,,,0.8288
DWN,2025-01-27 22:10:13,0.0416,Iris,Linear,,,0.98
DWN,2025-01-27 22:10:13,0.0683,Iris,Linear,,,0.7658
DWN,2025-01-27 22:10:13,0.0327,Iris,Scatter Code,10.0,50.0,1.0
DWN,2025-01-27 22:10:13,0.0374,Iris,Linear,,,0.7838
DWN,2025-01-27 22:10:13,0.0634,Iris,Scatter Code,10.0,50.0,0.8
DWN,2025-01-27 22:10:13,0.0536,Iris,Scatter Code,10.0,100.0,0.88
DWN,2025-01-27 22:10:13,0.0806,Iris,Linear,,,0.7568
DWN,2025-01-27 22:10:13,0.0359,Iris,Scatter Code,10.0,50.0,1.0
DWN,2025-01-27 22:10:13,0.1177,Iris,Linear,,,0.7928
DWN,2025-01-27 22:10:13,0.0378,Iris,Scatter Code,10.0,100.0,1.0
DWN,2025-01-27 22:10:13,0.0542,Iris,Linear,,,0.8468
DWN,2025-01-27 22:10:13,0.033,Iris,Scatter Code,10.0,100.0,0.96
DWN,2025-01-27 22:10:13,0.0589,Iris,Linear,,,0.8108
DWN,2025-01-27 22:10:13,0.0318,Iris,Scatter Code,10.0,100.0,0.96
DWN,2025-01-27 22:10:13,0.0558,Iris,Linear,,,0.8739
DWN,2025-01-27 22:10:13,0.0568,Iris,Linear,,,0.8018
DWN,2025-01-27 22:10:13,0.0398,Iris,Scatter Code,10.0,100.0,0.84
DWN,2025-01-27 22:10:13,0.051,Iris,Linear,,,0.8468
DWN,2025-01-27 22:10:13,0.0397,Iris,Scatter Code,10.0,100.0,0.86
DWN,2025-01-27 22:10:13,0.0579,Iris,Linear,,,0.8108
DWN,2025-01-27 22:10:13,0.0525,Iris,Linear,,,0.8018
DWN,2025-01-27 22:10:13,0.0366,Iris,Scatter Code,10.0,100.0,0.94
DWN,2025-01-27 22:10:13,0.0573,Iris,Linear,,,0.8018
DWN,2025-01-27 22:10:13,0.0533,Iris,Linear,,,0.7928
DWN,2025-01-27 22:10:13,0.0416,Iris,Scatter Code,10.0,100.0,0.92
DWN,2025-01-27 22:10:13,0.0371,Iris,Scatter Code,10.0,100.0,0.84
DWN,2025-01-27 22:10:13,0.0534,Iris,Linear,,,0.8378
