model,time,delta_time,encoding,accuracy
Wisard,2025-01-22 23:19:45,4.7615,Gaussian,0.6646
Wisard,2025-01-22 23:19:45,5.5464,Gaussian,0.6685
Wisard,2025-01-22 23:19:46,6.3319,Gaussian,0.6851
Wisard,2025-01-22 23:19:47,7.1376,Gaussian,0.6729
Wisard,2025-01-22 23:19:48,7.9685,Gaussian,0.6855
Wisard,2025-01-22 23:19:49,0.8292,Linear,0.5380
Wisard,2025-01-22 23:19:49,1.6290,Linear,0.4715
Wisard,2025-01-22 23:19:50,2.4201,Linear,0.5342
Wisard,2025-01-22 23:19:51,3.2127,Linear,0.5344
Wisard,2025-01-22 23:19:52,4.0075,Linear,0.5380
Wisard,2025-01-22 23:19:53,4.8168,Linear,0.5380
Wisard,2025-01-22 23:19:53,5.6384,Linear,0.4713
Wisard,2025-01-22 23:19:54,6.4597,Linear,0.5342
Wisard,2025-01-22 23:19:55,7.2669,Linear,0.4658
Wisard,2025-01-22 23:19:56,8.0646,Linear,0.5380
Wisard,2025-01-22 23:19:57,1.1472,Scatter Code,0.5344
Wisard,2025-01-22 23:19:58,2.2581,Scatter Code,0.4658
Wisard,2025-01-22 23:19:59,3.3891,Scatter Code,0.5342
Wisard,2025-01-22 23:20:00,4.5233,Scatter Code,0.5342
Wisard,2025-01-22 23:20:02,5.6681,Scatter Code,0.5342
Wisard,2025-01-22 23:20:03,6.7924,Scatter Code,0.5342
Wisard,2025-01-22 23:20:04,7.9079,Scatter Code,0.5344
Wisard,2025-01-22 23:20:05,9.0358,Scatter Code,0.4656
Wisard,2025-01-22 23:20:06,10.1724,Scatter Code,0.5342
Wisard,2025-01-22 23:20:07,11.2952,Scatter Code,0.4656
Wisard,2025-01-22 23:33:20,0.9344,Distributive,0.7854
Wisard,2025-01-22 23:33:21,1.7448,Distributive,0.8295
Wisard,2025-01-22 23:33:22,2.5455,Distributive,0.8424
Wisard,2025-01-22 23:33:23,3.3532,Distributive,0.8519
Wisard,2025-01-22 23:33:24,4.1585,Distributive,0.8645
Wisard,2025-01-22 23:33:24,4.9686,Distributive,0.8770
Wisard,2025-01-22 23:33:25,5.7846,Distributive,0.8780
Wisard,2025-01-22 23:33:26,6.6005,Distributive,0.8865
Wisard,2025-01-22 23:33:27,7.4136,Distributive,0.8886
Wisard,2025-01-22 23:33:28,8.2218,Distributive,0.8881
Wisard,2025-01-22 23:33:28,0.8304,Gaussian,0.6222
Wisard,2025-01-22 23:33:29,1.6311,Gaussian,0.5843
Wisard,2025-01-22 23:33:30,2.4299,Gaussian,0.6353
Wisard,2025-01-22 23:33:31,3.2521,Gaussian,0.6379
Wisard,2025-01-22 23:33:32,4.0673,Gaussian,0.6503
Wisard,2025-01-22 23:33:33,4.8943,Gaussian,0.6460
Wisard,2025-01-22 23:33:33,5.7048,Gaussian,0.6594
Wisard,2025-01-22 23:33:34,6.5014,Gaussian,0.6719
Wisard,2025-01-22 23:33:35,7.2984,Gaussian,0.6766
Wisard,2025-01-22 23:33:36,8.1024,Gaussian,0.6525
Wisard,2025-01-22 23:33:37,0.8212,Linear,0.4672
Wisard,2025-01-22 23:33:37,1.6227,Linear,0.4711
Wisard,2025-01-22 23:33:38,2.4236,Linear,0.4674
Wisard,2025-01-22 23:33:39,3.2213,Linear,0.5340
Wisard,2025-01-22 23:33:40,4.0218,Linear,0.4658
Wisard,2025-01-22 23:33:41,4.8230,Linear,0.4713
Wisard,2025-01-22 23:33:41,5.6310,Linear,0.4713
Wisard,2025-01-22 23:33:42,6.4366,Linear,0.4711
Wisard,2025-01-22 23:33:43,7.2591,Linear,0.4713
Wisard,2025-01-22 23:33:44,8.0782,Linear,0.4715
Wisard,2025-01-22 23:33:45,1.1729,Scatter Code,0.4656
Wisard,2025-01-22 23:33:46,2.3009,Scatter Code,0.5344
Wisard,2025-01-22 23:33:47,3.4272,Scatter Code,0.5344
Wisard,2025-01-22 23:33:48,4.5536,Scatter Code,0.4656
Wisard,2025-01-22 23:33:50,5.6942,Scatter Code,0.5344
Wisard,2025-01-22 23:33:51,6.8199,Scatter Code,0.5344
Wisard,2025-01-22 23:33:52,7.9459,Scatter Code,0.5344
Wisard,2025-01-22 23:33:53,9.0687,Scatter Code,0.5344
Wisard,2025-01-22 23:33:54,10.1926,Scatter Code,0.5344
Wisard,2025-01-22 23:33:55,11.3402,Scatter Code,0.5342
Wisard,2025-01-22 23:37:38,0.9090,Distributive,0.7828
Wisard,2025-01-22 23:37:39,1.7209,Distributive,0.8248
Wisard,2025-01-22 23:37:40,2.5350,Distributive,0.8271
Wisard,2025-01-22 23:37:41,3.3449,Distributive,0.8497
Wisard,2025-01-22 23:37:42,4.1436,Distributive,0.8710
Wisard,2025-01-22 23:37:42,4.9549,Distributive,0.8714
Wisard,2025-01-22 23:37:43,5.7641,Distributive,0.8811
Wisard,2025-01-22 23:37:44,6.5762,Distributive,0.8890
Wisard,2025-01-22 23:37:45,7.3872,Distributive,0.8855
Wisard,2025-01-22 23:37:46,8.1987,Distributive,0.8833
Wisard,2025-01-22 23:37:46,0.8427,Gaussian,0.5773
Wisard,2025-01-22 23:37:47,1.6717,Gaussian,0.6327
Wisard,2025-01-22 23:37:48,2.5031,Gaussian,0.6278
Wisard,2025-01-22 23:37:49,3.3315,Gaussian,0.6440
Wisard,2025-01-22 23:37:50,4.1414,Gaussian,0.6551
