model,time,delta_time,encoding,accuracy
Wisard,2025-01-22 23:20:57,0.1009,Gaussian,0.7183
Wisard,2025-01-22 23:20:57,0.1168,Gaussian,0.7042
Wisard,2025-01-22 23:20:57,0.1329,Gaussian,0.7746
Wisard,2025-01-22 23:20:57,0.1486,Gaussian,0.7183
Wisard,2025-01-22 23:20:57,0.1642,Gaussian,0.8028
Wisard,2025-01-22 23:20:57,0.0225,Linear,0.5915
Wisard,2025-01-22 23:20:57,0.0386,Linear,0.5915
Wisard,2025-01-22 23:20:57,0.0548,Linear,0.6761
Wisard,2025-01-22 23:20:57,0.0820,Linear,0.7042
Wisard,2025-01-22 23:20:57,0.0976,Linear,0.6479
Wisard,2025-01-22 23:20:57,0.1128,Linear,0.7042
Wisard,2025-01-22 23:20:57,0.1285,Linear,0.6479
Wisard,2025-01-22 23:20:57,0.1437,Linear,0.6620
Wisard,2025-01-22 23:20:58,0.1587,Linear,0.7042
Wisard,2025-01-22 23:20:58,0.1754,Linear,0.7183
Wisard,2025-01-22 23:20:58,0.0354,Scatter Code,0.1549
Wisard,2025-01-22 23:20:58,0.0549,Scatter Code,0.3099
Wisard,2025-01-22 23:20:58,0.0746,Scatter Code,0.3380
Wisard,2025-01-22 23:20:58,0.0941,Scatter Code,0.3239
Wisard,2025-01-22 23:20:58,0.1141,Scatter Code,0.3521
Wisard,2025-01-22 23:20:58,0.1339,Scatter Code,0.3239
Wisard,2025-01-22 23:20:58,0.1533,Scatter Code,0.3239
Wisard,2025-01-22 23:20:58,0.1731,Scatter Code,0.3521
Wisard,2025-01-22 23:20:58,0.1929,Scatter Code,0.3380
Wisard,2025-01-22 23:20:58,0.2127,Scatter Code,0.3239
Wisard,2025-01-22 23:34:46,0.0272,Distributive,0.6056
Wisard,2025-01-22 23:34:46,0.0595,Distributive,0.6197
Wisard,2025-01-22 23:34:46,0.0767,Distributive,0.7042
Wisard,2025-01-22 23:34:46,0.0935,Distributive,0.6479
Wisard,2025-01-22 23:34:46,0.1099,Distributive,0.7042
Wisard,2025-01-22 23:34:46,0.1261,Distributive,0.7042
Wisard,2025-01-22 23:34:46,0.1429,Distributive,0.7465
Wisard,2025-01-22 23:34:46,0.1595,Distributive,0.7606
Wisard,2025-01-22 23:34:46,0.1754,Distributive,0.7324
Wisard,2025-01-22 23:34:46,0.1920,Distributive,0.7606
Wisard,2025-01-22 23:34:46,0.0239,Gaussian,0.6479
Wisard,2025-01-22 23:34:46,0.0413,Gaussian,0.6901
Wisard,2025-01-22 23:34:46,0.0582,Gaussian,0.6761
Wisard,2025-01-22 23:34:46,0.0748,Gaussian,0.7042
Wisard,2025-01-22 23:34:46,0.0920,Gaussian,0.7042
Wisard,2025-01-22 23:34:46,0.1089,Gaussian,0.7887
Wisard,2025-01-22 23:34:46,0.1249,Gaussian,0.7887
Wisard,2025-01-22 23:34:46,0.1407,Gaussian,0.7887
Wisard,2025-01-22 23:34:46,0.1579,Gaussian,0.7887
Wisard,2025-01-22 23:34:46,0.1915,Gaussian,0.7887
Wisard,2025-01-22 23:34:46,0.0247,Linear,0.6761
Wisard,2025-01-22 23:34:46,0.0422,Linear,0.6338
