model,time,delta_time,encoding,accuracy
Wisard,2025-01-22 23:19:21,1.9162,Gaussian,0.4923
Wisard,2025-01-22 23:19:21,2.2407,Gaussian,0.5184
Wisard,2025-01-22 23:19:21,2.5557,Gaussian,0.5105
Wisard,2025-01-22 23:19:22,2.8801,Gaussian,0.5077
Wisard,2025-01-22 23:19:22,3.2135,Gaussian,0.5179
Wisard,2025-01-22 23:19:22,0.3367,Linear,0.4685
Wisard,2025-01-22 23:19:23,0.6819,Linear,0.4769
Wisard,2025-01-22 23:19:23,1.0157,Linear,0.4769
Wisard,2025-01-22 23:19:23,1.3546,Linear,0.4629
Wisard,2025-01-22 23:19:24,1.6816,Linear,0.4429
Wisard,2025-01-22 23:19:24,2.0258,Linear,0.4620
Wisard,2025-01-22 23:19:24,2.3456,Linear,0.4578
Wisard,2025-01-22 23:19:25,2.6608,Linear,0.4839
Wisard,2025-01-22 23:19:25,2.9804,Linear,0.4797
Wisard,2025-01-22 23:19:25,3.2965,Linear,0.4881
Wisard,2025-01-22 23:19:26,0.4627,Scatter Code,0.3193
Wisard,2025-01-22 23:19:26,0.9031,Scatter Code,0.4107
Wisard,2025-01-22 23:19:27,1.3390,Scatter Code,0.4555
Wisard,2025-01-22 23:19:27,1.7788,Scatter Code,0.4503
Wisard,2025-01-22 23:19:28,2.2116,Scatter Code,0.3226
Wisard,2025-01-22 23:19:28,2.6442,Scatter Code,0.3338
Wisard,2025-01-22 23:19:28,3.0835,Scatter Code,0.3002
Wisard,2025-01-22 23:19:29,3.5239,Scatter Code,0.3086
Wisard,2025-01-22 23:19:29,3.9638,Scatter Code,0.4438
Wisard,2025-01-22 23:19:30,4.4032,Scatter Code,0.3832
Wisard,2025-01-22 23:33:03,0.4189,Distributive,0.4909
Wisard,2025-01-22 23:33:04,0.7614,Distributive,0.4881
Wisard,2025-01-22 23:33:04,1.1098,Distributive,0.5007
Wisard,2025-01-22 23:33:04,1.4529,Distributive,0.4830
Wisard,2025-01-22 23:33:05,1.7727,Distributive,0.4993
Wisard,2025-01-22 23:33:05,2.1035,Distributive,0.4765
Wisard,2025-01-22 23:33:05,2.4438,Distributive,0.5049
Wisard,2025-01-22 23:33:06,2.7966,Distributive,0.5296
Wisard,2025-01-22 23:33:06,3.1282,Distributive,0.5193
Wisard,2025-01-22 23:33:06,3.4670,Distributive,0.5161
Wisard,2025-01-22 23:33:07,0.3445,Gaussian,0.4732
Wisard,2025-01-22 23:33:07,0.6777,Gaussian,0.4876
Wisard,2025-01-22 23:33:07,1.0095,Gaussian,0.4960
Wisard,2025-01-22 23:33:08,1.3434,Gaussian,0.4839
Wisard,2025-01-22 23:33:08,1.6632,Gaussian,0.5207
Wisard,2025-01-22 23:33:08,1.9851,Gaussian,0.5175
Wisard,2025-01-22 23:33:09,2.3067,Gaussian,0.4998
Wisard,2025-01-22 23:33:09,2.6297,Gaussian,0.5189
Wisard,2025-01-22 23:33:09,2.9507,Gaussian,0.5282
Wisard,2025-01-22 23:33:10,3.2723,Gaussian,0.4979
Wisard,2025-01-22 23:33:10,0.3396,Linear,0.4261
Wisard,2025-01-22 23:33:10,0.6814,Linear,0.4359
Wisard,2025-01-22 23:33:11,1.0090,Linear,0.4490
Wisard,2025-01-22 23:33:11,1.3376,Linear,0.4606
Wisard,2025-01-22 23:33:11,1.6645,Linear,0.4807
Wisard,2025-01-22 23:33:12,1.9829,Linear,0.4853
Wisard,2025-01-22 23:33:12,2.3084,Linear,0.4788
Wisard,2025-01-22 23:33:12,2.6280,Linear,0.4657
Wisard,2025-01-22 23:33:13,2.9568,Linear,0.4709
Wisard,2025-01-22 23:33:13,3.2774,Linear,0.4639
Wisard,2025-01-22 23:33:13,0.4769,Scatter Code,0.2825
Wisard,2025-01-22 23:33:14,0.9221,Scatter Code,0.3911
Wisard,2025-01-22 23:33:14,1.3587,Scatter Code,0.4378
Wisard,2025-01-22 23:33:15,1.8036,Scatter Code,0.2807
Wisard,2025-01-22 23:33:15,2.2442,Scatter Code,0.3655
Wisard,2025-01-22 23:33:16,2.6865,Scatter Code,0.3967
Wisard,2025-01-22 23:33:16,3.1302,Scatter Code,0.4159
Wisard,2025-01-22 23:33:17,3.5705,Scatter Code,0.3049
Wisard,2025-01-22 23:33:17,4.0111,Scatter Code,0.3166
Wisard,2025-01-22 23:33:17,4.4574,Scatter Code,0.4219
Wisard,2025-01-22 23:37:21,0.4354,Distributive,0.4834
Wisard,2025-01-22 23:37:22,0.7892,Distributive,0.4779
Wisard,2025-01-22 23:37:22,1.1256,Distributive,0.4942
Wisard,2025-01-22 23:37:22,1.4565,Distributive,0.4904
Wisard,2025-01-22 23:37:23,1.7924,Distributive,0.4816
Wisard,2025-01-22 23:37:23,2.1288,Distributive,0.4909
Wisard,2025-01-22 23:37:23,2.4592,Distributive,0.5091
Wisard,2025-01-22 23:37:24,2.7915,Distributive,0.4886
Wisard,2025-01-22 23:37:24,3.1429,Distributive,0.5147
Wisard,2025-01-22 23:37:25,3.4759,Distributive,0.5128
Wisard,2025-01-22 23:37:25,0.3306,Gaussian,0.4816
Wisard,2025-01-22 23:37:25,0.6491,Gaussian,0.4937
Wisard,2025-01-22 23:37:25,0.9652,Gaussian,0.4928
Wisard,2025-01-22 23:37:26,1.2813,Gaussian,0.5026
Wisard,2025-01-22 23:37:26,1.6052,Gaussian,0.4816
Wisard,2025-01-22 23:37:26,1.9254,Gaussian,0.4974
Wisard,2025-01-22 23:37:27,2.2468,Gaussian,0.4928
Wisard,2025-01-22 23:37:27,2.5739,Gaussian,0.5166
Wisard,2025-01-22 23:37:27,2.8966,Gaussian,0.5035
Wisard,2025-01-22 23:37:28,3.2239,Gaussian,0.5347
Wisard,2025-01-22 23:37:28,0.3392,Linear,0.4476
Wisard,2025-01-22 23:37:28,0.6711,Linear,0.4098
Wisard,2025-01-22 23:37:29,1.0014,Linear,0.4536
Wisard,2025-01-22 23:37:29,1.3422,Linear,0.4723
Wisard,2025-01-22 23:37:29,1.6779,Linear,0.4676
Wisard,2025-01-22 23:37:30,2.0296,Linear,0.4555
Wisard,2025-01-22 23:37:30,2.3638,Linear,0.4727
Wisard,2025-01-22 23:37:30,2.6901,Linear,0.4727
Wisard,2025-01-22 23:37:31,3.0149,Linear,0.5030
Wisard,2025-01-22 23:37:31,3.3356,Linear,0.4713
Wisard,2025-01-22 23:37:32,0.4642,Scatter Code,0.4303
Wisard,2025-01-22 23:37:32,0.9098,Scatter Code,0.4378
Wisard,2025-01-22 23:37:32,1.3508,Scatter Code,0.4172
Wisard,2025-01-22 23:37:33,1.7868,Scatter Code,0.4545
Wisard,2025-01-22 23:37:33,2.2203,Scatter Code,0.4378
Wisard,2025-01-22 23:37:34,2.6634,Scatter Code,0.3618
Wisard,2025-01-22 23:37:34,3.1227,Scatter Code,0.3837
Wisard,2025-01-22 23:37:35,3.5830,Scatter Code,0.4396
Wisard,2025-01-22 23:37:35,4.0372,Scatter Code,0.3804
Wisard,2025-01-22 23:37:36,4.4946,Scatter Code,0.4382
