model,time,delta_time,encoding,accuracy
Wisard,2025-01-22 23:20:24,5.4337,Gaussian,0.8275
Wisard,2025-01-22 23:20:25,6.3793,Gaussian,0.8064
Wisard,2025-01-22 23:20:26,7.3044,Gaussian,0.8249
Wisard,2025-01-22 23:20:27,8.2246,Gaussian,0.8310
Wisard,2025-01-22 23:20:28,9.1418,Gaussian,0.8224
Wisard,2025-01-22 23:20:29,0.9172,Linear,0.7798
Wisard,2025-01-22 23:20:29,1.8118,Linear,0.7825
Wisard,2025-01-22 23:20:30,2.7130,Linear,0.7821
Wisard,2025-01-22 23:20:31,3.6099,Linear,0.7701
Wisard,2025-01-22 23:20:32,4.5309,Linear,0.7814
Wisard,2025-01-22 23:20:33,5.4375,Linear,0.7923
Wisard,2025-01-22 23:20:34,6.3453,Linear,0.8012
Wisard,2025-01-22 23:20:35,7.2524,Linear,0.8125
Wisard,2025-01-22 23:20:36,8.1570,Linear,0.7679
Wisard,2025-01-22 23:20:37,9.0837,Linear,0.7953
Wisard,2025-01-22 23:20:38,1.2658,Scatter Code,0.7295
Wisard,2025-01-22 23:20:39,2.5023,Scatter Code,0.7472
Wisard,2025-01-22 23:20:40,3.7122,Scatter Code,0.3953
Wisard,2025-01-22 23:20:42,4.9198,Scatter Code,0.7456
Wisard,2025-01-22 23:20:43,6.1508,Scatter Code,0.6046
Wisard,2025-01-22 23:20:44,7.3760,Scatter Code,0.7451
Wisard,2025-01-22 23:20:45,8.5847,Scatter Code,0.4222
Wisard,2025-01-22 23:20:47,9.7892,Scatter Code,0.7249
Wisard,2025-01-22 23:20:48,11.0090,Scatter Code,0.4109
Wisard,2025-01-22 23:20:49,12.2431,Scatter Code,0.7395
Wisard,2025-01-22 23:33:58,1.0452,Distributive,0.8068
Wisard,2025-01-22 23:33:59,1.9680,Distributive,0.8119
Wisard,2025-01-22 23:34:00,2.8969,Distributive,0.8013
Wisard,2025-01-22 23:34:01,3.8234,Distributive,0.8399
Wisard,2025-01-22 23:34:02,4.7481,Distributive,0.8386
Wisard,2025-01-22 23:34:03,5.6763,Distributive,0.8117
Wisard,2025-01-22 23:34:04,6.6179,Distributive,0.8289
Wisard,2025-01-22 23:34:05,7.5375,Distributive,0.8356
Wisard,2025-01-22 23:34:05,8.4682,Distributive,0.8283
Wisard,2025-01-22 23:34:06,9.4050,Distributive,0.8147
Wisard,2025-01-22 23:34:07,0.9457,Gaussian,0.8055
Wisard,2025-01-22 23:34:08,1.9109,Gaussian,0.7926
Wisard,2025-01-22 23:34:09,2.8735,Gaussian,0.8230
Wisard,2025-01-22 23:34:10,3.7935,Gaussian,0.8224
Wisard,2025-01-22 23:34:11,4.7006,Gaussian,0.7905
