time,encoding,precision,accuracy,recall
2025-01-04 10:36:25,DISTRIBUTIVE,95.4,95.4,95.4
2025-01-04 10:36:25,GAUSSIAN,94.29,94.25,94.22
2025-01-04 10:36:26,SCATTER,77.13,56.9,55.88
2025-01-15 12:40:35,DISTRIBUTIVE,95.4,95.4,95.4
2025-01-15 12:40:35,GAUSSIAN,94.29,94.25,94.22
2025-01-15 12:40:36,SCATTER,77.13,56.9,55.88
2025-01-15 12:40:54,DISTRIBUTIVE,95.4,95.4,95.4
2025-01-15 12:40:54,GAUSSIAN,94.29,94.25,94.22
2025-01-15 12:40:54,SCATTER,77.3,57.47,56.47
