time,encoding,precision,accuracy,recall
2025-01-04 10:47:59,DISTRIBUTIVE,96.43,96.4,96.4
2025-01-04 10:48:28,GAUSSIAN,96.75,96.7,96.7
2025-01-04 10:48:50,SCATTER,96.03,95.9,95.9
