time,encoding,precision,accuracy,recall
2025-01-04 10:38:18,DISTRIBUTIVE,52.93,53.04,52.93
2025-01-04 10:39:01,GAUSSIAN,53.63,53.72,53.64
2025-01-04 10:41:26,SCATTER,51.42,51.62,51.42
