time,encoding,precision,accuracy,recall
2025-01-04 10:49:22,DISTRIBUTIVE,93.93,93.92,93.92
2025-01-04 10:49:34,GAUSSIAN,93.18,92.98,92.99
2025-01-04 10:49:53,SCATTER,92.14,92.1,92.11
