time,encoding,precision,accuracy,recall
2025-01-04 10:50:42,DISTRIBUTIVE,91.9,88.89,83.49
2025-01-04 10:50:43,GAUSSIAN,90.63,88.3,83.06
2025-01-04 10:50:44,SCATTER,59.05,67.25,51.83
2025-01-04 10:50:54,DISTRIBUTIVE,91.9,88.89,83.49
2025-01-04 10:50:55,GAUSSIAN,90.63,88.3,83.06
2025-01-04 10:50:56,SCATTER,59.05,67.25,51.83
2025-01-04 15:56:30,DISTRIBUTIVE,91.9,88.89,83.49
2025-01-04 15:56:30,GAUSSIAN,90.63,88.3,83.06
2025-01-04 15:56:31,SCATTER,59.05,67.25,51.83
