time,encoding,precision,accuracy,recall
2025-01-04 10:43:43,DISTRIBUTIVE,98.29,98.24,98.25
2025-01-04 10:43:44,GAUSSIAN,98.47,98.42,98.42
2025-01-04 10:43:45,SCATTER,96.6,96.3,96.32
