model,time,encoding,accuracy,delta_time
Wisard,2025-01-21 22:21:24,Gaussian,96.67,0.0020
Wisard,2025-01-21 22:21:24,Linear,99.33,0.0018
Wisard,2025-01-21 22:21:24,Scatter Code,92.67,0.0039
Wisard,2025-01-21 22:23:13,Distributive,98.0,0.0036
Wisard,2025-01-21 22:23:13,Gaussian,96.67,0.0024
Wisard,2025-01-21 22:23:13,Linear,99.33,0.0039
Wisard,2025-01-21 22:23:13,Scatter Code,90.0,0.0052
Wisard,2025-01-21 22:24:57,Distributive,98.0,0.0023
Wisard,2025-01-21 22:24:57,Gaussian,96.67,0.0021
Wisard,2025-01-21 22:24:57,Linear,99.33,0.0019
Wisard,2025-01-21 22:24:57,Scatter Code,94.0,0.0030
Wisard,2025-01-21 22:26:45,Distributive,98.0,0.0030
Wisard,2025-01-21 22:26:45,Gaussian,96.67,0.0026
Wisard,2025-01-21 22:26:45,Linear,99.33,0.0025
Wisard,2025-01-21 22:26:45,Scatter Code,92.0,0.0033
Wisard,2025-01-21 22:28:32,Distributive,98.0,0.0026
Wisard,2025-01-21 22:28:32,Gaussian,96.67,0.0027
Wisard,2025-01-21 22:28:32,Linear,99.33,0.0022
Wisard,2025-01-21 22:28:32,Scatter Code,94.67,0.0028
