model,time,encoding,accuracy,delta_time
Wisard,2025-01-21 22:23:04,Gaussian,75.54,0.0140
Wisard,2025-01-21 22:23:04,Linear,71.01,0.0119
Wisard,2025-01-21 22:23:04,Scatter Code,60.95,0.0286
Wisard,2025-01-21 22:24:48,Distributive,78.5,0.0196
Wisard,2025-01-21 22:24:48,Gaussian,75.54,0.0146
Wisard,2025-01-21 22:24:48,Linear,71.01,0.0120
Wisard,2025-01-21 22:24:48,Scatter Code,59.96,0.0260
Wisard,2025-01-21 22:26:36,Distributive,78.5,0.0121
Wisard,2025-01-21 22:26:36,Gaussian,75.54,0.0111
Wisard,2025-01-21 22:26:36,Linear,71.01,0.0149
Wisard,2025-01-21 22:26:36,Scatter Code,57.3,0.0245
Wisard,2025-01-21 22:28:23,Distributive,78.5,0.0177
Wisard,2025-01-21 22:28:23,Gaussian,75.54,0.0136
Wisard,2025-01-21 22:28:23,Linear,71.01,0.0122
Wisard,2025-01-21 22:28:23,Scatter Code,59.76,0.0267
Wisard,2025-01-21 22:30:14,Distributive,78.5,0.0115
Wisard,2025-01-21 22:30:14,Gaussian,75.54,0.0168
Wisard,2025-01-21 22:30:14,Linear,71.01,0.0118
Wisard,2025-01-21 22:30:14,Scatter Code,61.93,0.0279
